Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
318972.345306,2511455.0,2425600.0,180,-10.5,6046.0
,,,1990,-4.5,
,,,560,-8.0,
,,,5810,7.0,
,,,9340,-3.0,
,,,3690,-6.5,
,,,1500,-4.0,
,,,1550,-10.0,
,,,730,0.5,
,,,3800,-10.5,
,,,4150,-4.0,
,,,1220,-12.0,
,,,580,2.0,
,,,9960,-5.0,
,,,11280,7.5,
,,,18200,-4.0,
,,,3450,-7.0,
,,,2350,-10.0,
,,,2860,-4.0,
,,,2530,-0.5,
,,,5750,-4.5,
,,,4230,-5.0,
,,,1230,-6.5,
,,,1850,-9.0,
,,,2440,-6.5,
,,,5430,-5.5,
,,,16710,-4.0,
,,,770,-4.5,
,,,1110,0.0,
,,,930,-8.5,
,,,420,-4.5,
,,,1650,-10.0,
,,,450,-217.0,
,,,2640,-8.0,
,,,4000,-4.5,
,,,1150,0.0,
,,,650,-5.0,
,,,5810,-4.0,
,,,3670,-13.5,
,,,9150,400.5,
,,,18340,-1.5,
,,,380,-6.0,
,,,4850,2.0,
,,,1740,-9.0,
,,,300,-3.0,
,,,6910,-13.0,
,,,3550,-21.5,
,,,990,-1.5,
,,,3990,-2.0,
,,,2130,-4.0,
,,,8030,-3.0,
,,,1730,-1.5,
,,,6450,-11.0,
,,,610,-3.0,
,,,1530,-3.0,
,,,820,-2.0,
,,,3000,-2.0,
,,,2060,-14.0,
,,,400,-7.5,
,,,3780,-8.0,
,,,130,-3.0,
,,,690,-10.0,
,,,1990,-3.0,
,,,4640,-8.0,
,,,1660,-3.0,
,,,1630,-6.0,
,,,890,-5.0,
,,,9610,-6.5,
,,,870,-8.0,
,,,2470,-10.5,
,,,470,-3.5,
,,,170,1.0,
,,,460,-6.5,
,,,330,0.0,
,,,490,-7.0,
,,,2170,0.0,
,,,2030,-7.0,
,,,3340,-4.0,
,,,1180,-4.0,
,,,4050,38.5,
,,,1930,-3.5,
,,,8000,0.0,
,,,3420,-7.5,
,,,4180,-6.5,
,,,220,-7.5,
,,,5620,-7.0,
,,,1300,-2.5,
,,,750,0.0,
,,,6960,2.5,
,,,10700,2.5,
,,,1840,0.0,
,,,5180,-20.5,
,,,3020,-5.5,
,,,1610,0.0,
,,,2460,0.0,
,,,890,-6.5,
,,,2540,14.5,
,,,2270,-6.5,
,,,1020,-5.0,
,,,350,5.5,
,,,6680,-16.5,
,,,3200,-3.0,
,,,1720,-6.0,
,,,1600,-12.5,
,,,1650,1.0,
,,,3050,-1.5,
,,,210,-9.0,
,,,18490,0.5,
,,,460,6.0,
,,,5130,-11.0,
,,,190,-6.0,
,,,8780,-7.5,
,,,5440,-6.0,
,,,3910,-7.0,
,,,320,-4.0,
,,,640,-6.5,
,,,3640,-3.5,
,,,4100,-2.0,
,,,7600,-1.5,
,,,1590,-5.5,
,,,210,-19.0,
